,Pclass,Age,SibSp,Parch,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
52,1,4,1,0,1,0,1,0,0
53,2,4,1,0,1,0,0,0,1
54,1,5,0,1,0,1,1,0,0
55,1,5,0,0,0,1,0,0,1
56,2,3,0,0,1,0,0,0,1
57,3,4,0,0,0,1,1,0,0
58,2,2,1,2,1,0,0,0,1
59,3,2,5,2,0,1,0,0,1
60,3,3,0,0,0,1,1,0,0
61,1,4,0,0,1,0,0,0,0
62,1,4,1,0,0,1,0,0,1
63,3,2,3,2,0,1,0,0,1
64,1,5,0,0,0,1,1,0,0
65,3,5,1,1,0,1,1,0,0
66,2,4,0,0,1,0,0,0,1
67,3,3,0,0,0,1,0,0,1
68,3,3,4,2,1,0,0,0,1
69,3,4,2,0,0,1,0,0,1
70,2,4,0,0,0,1,0,0,1
71,3,3,5,2,1,0,0,0,1
72,2,3,0,0,0,1,0,0,1
73,3,4,1,0,0,1,1,0,0
74,3,4,0,0,0,1,0,0,1
75,3,4,0,0,0,1,0,0,1
76,3,5,0,0,0,1,0,0,1
77,3,5,0,0,0,1,0,0,1
78,2,1,0,2,0,1,0,0,1
79,3,4,0,0,1,0,0,0,1
80,3,3,0,0,0,1,0,0,1
81,3,4,0,0,0,1,0,0,1
82,3,5,0,0,1,0,0,1,0
83,1,4,0,0,0,1,0,0,1
84,2,3,0,0,1,0,0,0,1
85,3,4,3,0,1,0,0,0,1
86,3,3,1,3,0,1,0,0,1
87,3,5,0,0,0,1,0,0,1
88,1,3,3,2,1,0,0,0,1
89,3,3,0,0,0,1,0,0,1
90,3,4,0,0,0,1,0,0,1
91,3,3,0,0,0,1,0,0,1
92,1,4,1,0,0,1,0,0,1
93,3,4,1,2,0,1,0,0,1
94,3,5,0,0,0,1,0,0,1
95,3,5,0,0,0,1,0,0,1
96,1,5,0,0,0,1,1,0,0
97,1,3,0,1,0,1,1,0,0
98,2,4,0,1,1,0,0,0,1
99,2,4,1,0,0,1,0,0,1
100,3,4,0,0,1,0,0,0,1
101,3,5,0,0,0,1,0,0,1
102,1,3,0,1,0,1,0,0,1
103,3,4,0,0,0,1,0,0,1
104,3,4,2,0,0,1,0,0,1
105,3,4,0,0,0,1,0,0,1
106,3,3,0,0,1,0,0,0,1
107,3,5,0,0,0,1,0,0,1
108,3,4,0,0,0,1,0,0,1
109,3,5,1,0,1,0,0,1,0
110,1,4,0,0,0,1,0,0,1
111,3,2,1,0,1,0,1,0,0
112,3,3,0,0,0,1,0,0,1
113,3,3,1,0,1,0,0,0,1
114,3,3,0,0,1,0,1,0,0
115,3,3,0,0,0,1,0,0,1
116,3,5,0,0,0,1,0,1,0
117,2,4,1,0,0,1,0,0,1
118,1,3,0,1,0,1,1,0,0
119,3,1,4,2,1,0,0,0,1
120,2,3,2,0,0,1,0,0,1
121,3,5,0,0,0,1,0,0,1
122,2,4,1,0,0,1,1,0,0
123,2,4,0,0,1,0,0,0,1
124,1,5,0,1,0,1,0,0,1
125,3,2,1,0,0,1,1,0,0
126,3,5,0,0,0,1,0,1,0
127,3,3,0,0,0,1,0,0,1
128,3,5,1,1,1,0,1,0,0
129,3,4,0,0,0,1,0,0,1
130,3,4,0,0,0,1,1,0,0
131,3,3,0,0,0,1,0,0,1
132,3,4,1,0,1,0,0,0,1
133,2,4,1,0,1,0,0,0,1
134,2,4,0,0,0,1,0,0,1
135,2,3,0,0,0,1,1,0,0
136,1,3,0,2,1,0,0,0,1
137,1,4,1,0,0,1,0,0,1
138,3,3,0,0,0,1,0,0,1
139,1,3,0,0,0,1,1,0,0
140,3,5,0,2,1,0,1,0,0
141,3,3,0,0,1,0,0,0,1
142,3,3,1,0,1,0,0,0,1
143,3,3,0,0,0,1,0,1,0
144,2,3,0,0,0,1,0,0,1
145,2,3,1,1,0,1,0,0,1
146,3,4,0,0,0,1,0,0,1
147,3,2,2,2,1,0,0,0,1
148,2,4,0,2,0,1,0,0,1
149,2,4,0,0,0,1,0,0,1
150,2,5,0,0,0,1,0,0,1
151,1,3,1,0,1,0,0,0,1
152,3,5,0,0,0,1,0,0,1
153,3,4,0,2,0,1,0,0,1
154,3,5,0,0,0,1,0,0,1
155,1,5,0,1,0,1,1,0,0
156,3,3,0,0,1,0,0,1,0
157,3,4,0,0,0,1,0,0,1
158,3,5,0,0,0,1,0,0,1
159,3,5,8,2,0,1,0,0,1
160,3,4,0,1,0,1,0,0,1
161,2,4,0,0,1,0,0,0,1
162,3,4,0,0,0,1,0,0,1
163,3,3,0,0,0,1,0,0,1
164,3,1,4,1,0,1,0,0,1
165,3,2,0,2,0,1,0,0,1
166,1,5,0,1,1,0,0,0,1
167,3,4,1,4,1,0,0,0,1
168,1,5,0,0,0,1,0,0,1
169,3,4,0,0,0,1,0,0,1
170,1,5,0,0,0,1,0,0,1
171,3,2,4,1,0,1,0,1,0
172,3,1,1,1,1,0,0,0,1
173,3,3,0,0,0,1,0,0,1
174,1,5,0,0,0,1,1,0,0
175,3,3,1,1,0,1,0,0,1
176,3,5,3,1,0,1,0,0,1
177,1,5,0,0,1,0,1,0,0
178,2,4,0,0,0,1,0,0,1
179,3,4,0,0,0,1,0,0,1
180,3,5,8,2,1,0,0,0,1
181,2,5,0,0,0,1,1,0,0
182,3,2,4,2,0,1,0,0,1
183,2,1,2,1,0,1,0,0,1
184,3,2,0,2,1,0,0,0,1
185,1,5,0,0,0,1,0,0,1
186,3,5,1,0,1,0,0,1,0
187,1,4,0,0,0,1,0,0,1
188,3,4,1,1,0,1,0,1,0
189,3,4,0,0,0,1,0,0,1
190,2,4,0,0,1,0,0,0,1
191,2,3,0,0,0,1,0,0,1
192,3,3,1,0,1,0,0,0,1
193,2,1,1,1,0,1,0,0,1
194,1,4,0,0,1,0,1,0,0
195,1,5,0,0,1,0,1,0,0
196,3,5,0,0,0,1,0,1,0
197,3,4,0,1,0,1,0,0,1
198,3,5,0,0,1,0,0,1,0
199,2,3,0,0,1,0,0,0,1
200,3,4,0,0,0,1,0,0,1
201,3,5,8,2,0,1,0,0,1
202,3,4,0,0,0,1,0,0,1
203,3,4,0,0,0,1,1,0,0
204,3,3,0,0,0,1,0,0,1
205,3,1,0,1,1,0,0,0,1
206,3,4,1,0,0,1,0,0,1
207,3,4,0,0,0,1,1,0,0
208,3,3,0,0,1,0,0,1,0
209,1,4,0,0,0,1,1,0,0
210,3,3,0,0,0,1,0,0,1
211,2,4,0,0,1,0,0,0,1
212,3,3,0,0,0,1,0,0,1
213,2,4,0,0,0,1,0,0,1
214,3,5,1,0,0,1,0,1,0
215,1,4,1,0,1,0,1,0,0
216,3,4,0,0,1,0,0,0,1
217,2,4,1,0,0,1,0,0,1
218,1,4,0,0,1,0,1,0,0
219,2,4,0,0,0,1,0,0,1
220,3,3,0,0,0,1,0,0,1
221,2,4,0,0,0,1,0,0,1
222,3,5,0,0,0,1,0,0,1
223,3,5,0,0,0,1,0,0,1
224,1,4,1,0,0,1,0,0,1
225,3,3,0,0,0,1,0,0,1
226,2,3,0,0,0,1,0,0,1
227,3,3,0,0,0,1,0,0,1
228,2,3,0,0,0,1,0,0,1
229,3,5,3,1,1,0,0,0,1
230,1,4,1,0,1,0,0,0,1
231,3,4,0,0,0,1,0,0,1
232,2,5,0,0,0,1,0,0,1
233,3,2,4,2,1,0,0,0,1
234,2,3,0,0,0,1,0,0,1
235,3,5,0,0,1,0,0,0,1
236,2,4,1,0,0,1,0,0,1
237,2,2,0,2,1,0,0,0,1
238,2,3,0,0,0,1,0,0,1
239,2,4,0,0,0,1,0,0,1
240,3,5,1,0,1,0,1,0,0
241,3,5,1,0,1,0,0,1,0
242,2,4,0,0,0,1,0,0,1
243,3,3,0,0,0,1,0,0,1
244,3,4,0,0,0,1,1,0,0
245,1,4,2,0,0,1,0,1,0
246,3,4,0,0,1,0,0,0,1
247,2,3,0,2,1,0,0,0,1
248,1,4,1,1,0,1,0,0,1
249,2,5,1,0,0,1,0,0,1
250,3,5,0,0,0,1,0,0,1
251,3,4,1,1,1,0,0,0,1
252,1,5,0,0,0,1,0,0,1
253,3,4,1,0,0,1,0,0,1
254,3,4,0,2,1,0,0,0,1
255,3,4,0,2,1,0,1,0,0
256,1,5,0,0,1,0,1,0,0
257,1,4,0,0,1,0,0,0,1
258,1,4,0,0,1,0,1,0,0
259,2,5,0,1,1,0,0,0,1
260,3,5,0,0,0,1,0,1,0
261,3,1,4,2,0,1,0,0,1
262,1,5,1,1,0,1,0,0,1
263,1,4,0,0,0,1,0,0,1
264,3,5,0,0,1,0,0,1,0
265,2,4,0,0,0,1,0,0,1
266,3,3,4,1,0,1,0,0,1
267,3,4,1,0,0,1,0,0,1
268,1,5,0,1,1,0,0,0,1
269,1,4,0,0,1,0,0,0,1
270,1,5,0,0,0,1,0,0,1
271,3,4,0,0,0,1,0,0,1
272,2,4,0,1,1,0,0,0,1
273,1,4,0,1,0,1,1,0,0
274,3,5,0,0,1,0,0,1,0
275,1,5,1,0,1,0,0,0,1
276,3,4,0,0,1,0,0,0,1
277,2,5,0,0,0,1,0,0,1
278,3,2,4,1,0,1,0,1,0
279,3,4,1,1,1,0,0,0,1
280,3,5,0,0,0,1,0,1,0
281,3,4,0,0,0,1,0,0,1
282,3,3,0,0,0,1,0,0,1
283,3,3,0,0,0,1,0,0,1
284,1,5,0,0,0,1,0,0,1
285,3,4,0,0,0,1,1,0,0
286,3,4,0,0,0,1,0,0,1
287,3,3,0,0,0,1,0,0,1
288,2,4,0,0,0,1,0,0,1
289,3,3,0,0,1,0,0,1,0
290,1,4,0,0,1,0,0,0,1
291,1,3,1,0,1,0,1,0,0
292,2,4,0,0,0,1,1,0,0
293,3,3,0,0,1,0,0,0,1
294,3,3,0,0,0,1,0,0,1
295,1,5,0,0,0,1,1,0,0
296,3,3,0,0,0,1,1,0,0
297,1,1,1,2,1,0,0,0,1
298,1,5,0,0,0,1,0,0,1
299,1,5,0,1,1,0,1,0,0
300,3,5,0,0,1,0,0,1,0
301,3,5,2,0,0,1,0,1,0
302,3,3,0,0,0,1,0,0,1
303,2,5,0,0,1,0,0,1,0
304,3,5,0,0,0,1,0,0,1
305,1,1,1,2,0,1,0,0,1
306,1,5,0,0,1,0,1,0,0
307,1,3,1,0,1,0,1,0,0
308,2,4,1,0,0,1,1,0,0
309,1,4,0,0,1,0,1,0,0
310,1,3,0,0,1,0,1,0,0
311,1,3,2,2,1,0,1,0,0
312,2,4,1,1,1,0,0,0,1
313,3,4,0,0,0,1,0,0,1
314,2,4,1,1,0,1,0,0,1
315,3,4,0,0,1,0,0,0,1
316,2,3,1,0,1,0,0,0,1
317,2,5,0,0,0,1,0,0,1
318,1,4,0,2,1,0,0,0,1
319,1,4,1,1,1,0,1,0,0
320,3,3,0,0,0,1,0,0,1
321,3,4,0,0,0,1,0,0,1
322,2,4,0,0,1,0,0,1,0
323,2,3,1,1,1,0,0,0,1
324,3,5,8,2,0,1,0,0,1
325,1,4,0,0,1,0,1,0,0
326,3,5,0,0,0,1,0,0,1
327,2,4,0,0,1,0,0,0,1
328,3,4,1,1,1,0,0,0,1
329,1,3,0,1,1,0,1,0,0
330,3,5,2,0,1,0,0,1,0
331,1,4,0,0,0,1,0,0,1
332,1,4,0,1,0,1,0,0,1
333,3,3,2,0,0,1,0,0,1
334,1,5,1,0,1,0,0,0,1
335,3,5,0,0,0,1,0,0,1
336,1,4,1,0,0,1,0,0,1
337,1,4,0,0,1,0,1,0,0
338,3,4,0,0,0,1,0,0,1
339,1,4,0,0,0,1,0,0,1
340,2,1,1,1,0,1,0,0,1
341,1,3,3,2,1,0,0,0,1
342,2,4,0,0,0,1,0,0,1
343,2,4,0,0,0,1,0,0,1
344,2,4,0,0,0,1,0,0,1
345,2,3,0,0,1,0,0,0,1
346,2,4,0,0,1,0,0,0,1
347,3,5,1,0,1,0,0,0,1
348,3,1,1,1,0,1,0,0,1
349,3,4,0,0,0,1,0,0,1
350,3,3,0,0,0,1,0,0,1
351,1,5,0,0,0,1,0,0,1
352,3,3,1,1,0,1,1,0,0
353,3,4,1,0,0,1,0,0,1
354,3,5,0,0,0,1,1,0,0
355,3,4,0,0,0,1,0,0,1
356,1,3,0,1,1,0,0,0,1
357,2,4,0,0,1,0,0,0,1
358,3,5,0,0,1,0,0,1,0
359,3,5,0,0,1,0,0,1,0
360,3,4,1,4,0,1,0,0,1
361,2,4,1,0,0,1,1,0,0
362,3,4,0,1,1,0,1,0,0
363,3,4,0,0,0,1,0,0,1
364,3,5,1,0,0,1,0,1,0
365,3,4,0,0,0,1,0,0,1
366,1,5,1,0,1,0,1,0,0
367,3,5,0,0,1,0,1,0,0
368,3,5,0,0,1,0,0,1,0
369,1,3,0,0,1,0,1,0,0
370,1,4,1,0,0,1,1,0,0
371,3,3,1,0,0,1,0,0,1
372,3,3,0,0,0,1,0,0,1
373,1,3,0,0,0,1,1,0,0
374,3,1,3,1,1,0,0,0,1
375,1,5,1,0,1,0,1,0,0
376,3,3,0,0,1,0,0,0,1
377,1,4,0,2,0,1,1,0,0
378,3,3,0,0,0,1,1,0,0
379,3,3,0,0,0,1,0,0,1
380,1,4,0,0,1,0,1,0,0
381,3,1,0,2,1,0,1,0,0
382,3,4,0,0,0,1,0,0,1
383,1,4,1,0,1,0,0,0,1
384,3,5,0,0,0,1,0,0,1
385,2,3,0,0,0,1,0,0,1
386,3,1,5,2,0,1,0,0,1
387,2,4,0,0,1,0,0,0,1
388,3,5,0,0,0,1,0,1,0
389,2,3,0,0,1,0,1,0,0
390,1,4,1,2,0,1,0,0,1
391,3,3,0,0,0,1,0,0,1
392,3,4,2,0,0,1,0,0,1
393,1,3,1,0,1,0,1,0,0
394,3,3,0,2,1,0,0,0,1
395,3,3,0,0,0,1,0,0,1
396,3,4,0,0,1,0,0,0,1
397,2,4,0,0,0,1,0,0,1
398,2,3,0,0,0,1,0,0,1
399,2,4,0,0,1,0,0,0,1
400,3,4,0,0,0,1,0,0,1
401,3,4,0,0,0,1,0,0,1
402,3,3,1,0,1,0,0,0,1
403,3,4,1,0,0,1,0,0,1
404,3,3,0,0,1,0,0,0,1
405,2,4,1,0,0,1,0,0,1
406,3,5,0,0,0,1,0,0,1
407,2,1,1,1,0,1,0,0,1
408,3,3,0,0,0,1,0,0,1
409,3,5,3,1,1,0,0,0,1
410,3,5,0,0,0,1,0,0,1
411,3,5,0,0,0,1,0,1,0
412,1,4,1,0,1,0,0,1,0
413,2,5,0,0,0,1,0,0,1
414,3,4,0,0,0,1,0,0,1
415,3,5,0,0,1,0,0,0,1
416,2,4,1,1,1,0,0,0,1
417,2,3,0,2,1,0,0,0,1
418,2,4,0,0,0,1,0,0,1
419,3,2,0,2,1,0,0,0,1
420,3,5,0,0,0,1,1,0,0
421,3,3,0,0,0,1,0,1,0
422,3,4,0,0,0,1,0,0,1
423,3,4,1,1,1,0,0,0,1
424,3,3,1,1,0,1,0,0,1
425,3,5,0,0,0,1,0,0,1
426,2,4,1,0,1,0,0,0,1
427,2,3,0,0,1,0,0,0,1
428,3,5,0,0,0,1,0,1,0
429,3,4,0,0,0,1,0,0,1
430,1,4,0,0,0,1,0,0,1
431,3,5,1,0,1,0,0,0,1
432,2,4,1,0,1,0,0,0,1
433,3,3,0,0,0,1,0,0,1
434,1,5,1,0,0,1,0,0,1
435,1,2,1,2,1,0,0,0,1
436,3,3,2,2,1,0,0,0,1
437,2,3,2,3,1,0,0,0,1
438,1,5,1,4,0,1,0,0,1
439,2,4,0,0,0,1,0,0,1
440,2,4,1,1,1,0,0,0,1
441,3,3,0,0,0,1,0,0,1
442,3,4,1,0,0,1,0,0,1
443,2,4,0,0,1,0,0,0,1
444,3,5,0,0,0,1,0,0,1
445,1,2,0,2,0,1,0,0,1
446,2,2,0,1,1,0,0,0,1
447,1,4,0,0,0,1,0,0,1
448,3,2,2,1,1,0,1,0,0
449,1,5,0,0,0,1,0,0,1
450,2,4,1,2,0,1,0,0,1
451,3,5,1,0,0,1,0,0,1
452,1,4,0,0,0,1,1,0,0
453,1,4,1,0,0,1,1,0,0
454,3,5,0,0,0,1,0,0,1
455,3,4,0,0,0,1,1,0,0
456,1,5,0,0,0,1,0,0,1
457,1,5,1,0,1,0,0,0,1
458,2,5,0,0,1,0,0,0,1
459,3,5,0,0,0,1,0,1,0
460,1,4,0,0,0,1,0,0,1
461,3,4,0,0,0,1,0,0,1
462,1,4,0,0,0,1,0,0,1
463,2,4,0,0,0,1,0,0,1
464,3,5,0,0,0,1,0,0,1
465,3,4,0,0,0,1,0,0,1
466,2,5,0,0,0,1,0,0,1
467,1,5,0,0,0,1,0,0,1
468,3,5,0,0,0,1,0,1,0
469,3,1,2,1,1,0,1,0,0
470,3,5,0,0,0,1,0,0,1
471,3,4,0,0,0,1,0,0,1
472,2,4,1,2,1,0,0,0,1
473,2,3,0,0,1,0,1,0,0
474,3,3,0,0,1,0,0,0,1
475,1,5,0,0,0,1,0,0,1
476,2,4,1,0,0,1,0,0,1
477,3,4,1,0,0,1,0,0,1
478,3,3,0,0,0,1,0,0,1
479,3,1,0,1,1,0,0,0,1
480,3,2,5,2,0,1,0,0,1
481,2,5,0,0,0,1,0,0,1
482,3,5,0,0,0,1,0,0,1
483,3,5,0,0,1,0,0,0,1
484,1,4,1,0,0,1,1,0,0
485,3,5,3,1,1,0,0,0,1
486,1,4,1,0,1,0,0,0,1
487,1,5,0,0,0,1,1,0,0
488,3,4,0,0,0,1,0,0,1
489,3,2,1,1,0,1,0,0,1
490,3,5,1,0,0,1,0,0,1
491,3,3,0,0,0,1,0,0,1
492,1,5,0,0,0,1,0,0,1
493,1,5,0,0,0,1,1,0,0
494,3,3,0,0,0,1,0,0,1
495,3,5,0,0,0,1,1,0,0
496,1,5,1,0,1,0,1,0,0
497,3,5,0,0,0,1,0,0,1
498,1,4,1,2,1,0,0,0,1
499,3,3,0,0,0,1,0,0,1
500,3,3,0,0,0,1,0,0,1
501,3,3,0,0,1,0,0,1,0
502,3,5,0,0,1,0,0,1,0
503,3,4,0,0,1,0,0,0,1
504,1,3,0,0,1,0,0,0,1
505,1,3,1,0,0,1,1,0,0
506,2,4,0,2,1,0,0,0,1
507,1,5,0,0,0,1,0,0,1
508,3,4,0,0,0,1,0,0,1
509,3,4,0,0,0,1,0,0,1
510,3,4,0,0,0,1,0,1,0
511,3,5,0,0,0,1,0,0,1
512,1,4,0,0,0,1,0,0,1
513,1,5,1,0,1,0,1,0,0
514,3,3,0,0,0,1,0,0,1
515,1,4,0,0,0,1,0,0,1
516,2,4,0,0,1,0,0,0,1
517,3,5,0,0,0,1,0,1,0
518,2,4,1,0,1,0,0,0,1
519,3,4,0,0,0,1,0,0,1
520,1,4,0,0,1,0,0,0,1
521,3,3,0,0,0,1,0,0,1
522,3,5,0,0,0,1,1,0,0
523,1,4,0,1,1,0,1,0,0
524,3,5,0,0,0,1,1,0,0
525,3,4,0,0,0,1,0,1,0
526,2,5,0,0,1,0,0,0,1
527,1,5,0,0,0,1,0,0,1
528,3,4,0,0,0,1,0,0,1
529,2,3,2,1,0,1,0,0,1
530,2,1,1,1,1,0,0,0,1
531,3,5,0,0,0,1,1,0,0
532,3,3,1,1,0,1,1,0,0
533,3,5,0,2,1,0,1,0,0
534,3,4,0,0,1,0,0,0,1
535,2,2,0,2,1,0,0,0,1
536,1,4,0,0,0,1,0,0,1
537,1,4,0,0,1,0,1,0,0
538,3,5,0,0,0,1,0,0,1
539,1,3,0,2,1,0,1,0,0
540,1,4,0,2,1,0,0,0,1
541,3,2,4,2,1,0,0,0,1
542,3,2,4,2,1,0,0,0,1
543,2,4,1,0,0,1,0,0,1
544,1,5,1,0,0,1,1,0,0
545,1,5,0,0,0,1,0,0,1
546,2,3,1,0,1,0,0,0,1
547,2,5,0,0,0,1,1,0,0
548,3,4,1,1,0,1,0,0,1
549,2,2,1,1,0,1,0,0,1
550,1,3,0,2,0,1,1,0,0
551,2,4,0,0,0,1,0,0,1
552,3,5,0,0,0,1,0,1,0
553,3,3,0,0,0,1,1,0,0
554,3,3,0,0,1,0,0,0,1
555,1,5,0,0,0,1,0,0,1
556,1,4,1,0,1,0,1,0,0
557,1,5,0,0,0,1,1,0,0
558,1,4,1,1,1,0,0,0,1
559,3,4,1,0,1,0,0,0,1
560,3,5,0,0,0,1,0,1,0
561,3,4,0,0,0,1,0,0,1
562,2,4,0,0,0,1,0,0,1
563,3,5,0,0,0,1,0,0,1
564,3,5,0,0,1,0,0,0,1
565,3,3,2,0,0,1,0,0,1
566,3,3,0,0,0,1,0,0,1
567,3,4,0,4,1,0,0,0,1
568,3,5,0,0,0,1,1,0,0
569,3,4,0,0,0,1,0,0,1
570,2,5,0,0,0,1,0,0,1
571,1,5,2,0,1,0,0,0,1
572,1,4,0,0,0,1,0,0,1
573,3,5,0,0,1,0,0,1,0
574,3,3,0,0,0,1,0,0,1
575,3,3,0,0,0,1,0,0,1
576,2,4,0,0,1,0,0,0,1
577,1,4,1,0,1,0,0,0,1
578,3,5,1,0,1,0,1,0,0
579,3,4,0,0,0,1,0,0,1
580,2,4,1,1,1,0,0,0,1
581,1,4,1,1,1,0,1,0,0
582,2,5,0,0,0,1,0,0,1
583,1,4,0,0,0,1,1,0,0
584,3,5,0,0,0,1,1,0,0
585,1,3,0,2,1,0,0,0,1
586,2,4,0,0,0,1,0,0,1
587,1,5,1,1,0,1,1,0,0
588,3,3,0,0,0,1,0,0,1
589,3,5,0,0,0,1,0,0,1
590,3,4,0,0,0,1,0,0,1
591,1,5,1,0,1,0,1,0,0
592,3,4,0,0,0,1,0,0,1
593,3,5,0,2,1,0,0,1,0
594,2,4,1,0,0,1,0,0,1
595,3,4,1,1,0,1,0,0,1
596,2,5,0,0,1,0,0,0,1
597,3,4,0,0,0,1,0,0,1
598,3,5,0,0,0,1,1,0,0
599,1,4,1,0,0,1,1,0,0
600,2,3,2,1,1,0,0,0,1
601,3,5,0,0,0,1,0,0,1
602,1,5,0,0,0,1,0,0,1
603,3,4,0,0,0,1,0,0,1
604,1,4,0,0,0,1,1,0,0
605,3,4,1,0,0,1,0,0,1
606,3,4,0,0,0,1,0,0,1
607,1,4,0,0,0,1,0,0,1
608,2,3,1,2,1,0,1,0,0
609,1,4,0,0,1,0,0,0,1
610,3,4,1,5,1,0,0,0,1
611,3,5,0,0,0,1,0,0,1
612,3,5,1,0,1,0,0,1,0
613,3,5,0,0,0,1,0,1,0
614,3,4,0,0,0,1,0,0,1
615,2,3,1,2,1,0,0,0,1
616,3,4,1,1,0,1,0,0,1
617,3,4,1,0,1,0,0,0,1
618,2,2,2,1,1,0,0,0,1
619,2,4,0,0,0,1,0,0,1
620,3,4,1,0,0,1,1,0,0
621,1,4,1,0,0,1,0,0,1
622,3,3,1,1,0,1,1,0,0
623,3,3,0,0,0,1,0,0,1
624,3,3,0,0,0,1,0,0,1
625,1,5,0,0,0,1,0,0,1
626,2,5,0,0,0,1,0,1,0
627,1,3,0,0,1,0,0,0,1
628,3,4,0,0,0,1,0,0,1
629,3,5,0,0,0,1,0,1,0
630,1,5,0,0,0,1,0,0,1
631,3,5,0,0,0,1,0,0,1
632,1,4,0,0,0,1,1,0,0
633,1,5,0,0,0,1,0,0,1
634,3,2,3,2,1,0,0,0,1
635,2,4,0,0,1,0,0,0,1
636,3,4,0,0,0,1,0,0,1
637,2,4,1,1,0,1,0,0,1
638,3,4,0,5,1,0,0,0,1
639,3,5,1,0,0,1,0,0,1
640,3,3,0,0,0,1,0,0,1
641,1,3,0,0,1,0,1,0,0
642,3,1,3,2,1,0,0,0,1
643,3,5,0,0,0,1,0,0,1
644,3,1,2,1,1,0,1,0,0
645,1,4,1,0,0,1,1,0,0
646,3,3,0,0,0,1,0,0,1
647,1,5,0,0,0,1,1,0,0
648,3,5,0,0,0,1,0,0,1
649,3,3,0,0,1,0,0,0,1
650,3,5,0,0,0,1,0,0,1
651,2,3,0,1,1,0,0,0,1
652,3,3,0,0,0,1,0,0,1
653,3,5,0,0,1,0,0,1,0
654,3,3,0,0,1,0,0,1,0
655,2,3,2,0,0,1,0,0,1
656,3,5,0,0,0,1,0,0,1
657,3,4,1,1,1,0,0,1,0
658,2,3,0,0,0,1,0,0,1
659,1,5,0,2,0,1,1,0,0
660,1,5,2,0,0,1,0,0,1
661,3,4,0,0,0,1,1,0,0
662,1,4,0,0,0,1,0,0,1
663,3,4,0,0,0,1,0,0,1
664,3,3,1,0,0,1,0,0,1
665,2,4,2,0,0,1,0,0,1
666,2,4,0,0,0,1,0,0,1
667,3,5,0,0,0,1,0,0,1
668,3,4,0,0,0,1,0,0,1
669,1,5,1,0,1,0,0,0,1
670,2,4,1,1,1,0,0,0,1
671,1,4,1,0,0,1,0,0,1
672,2,5,0,0,0,1,0,0,1
673,2,4,0,0,0,1,0,0,1
674,2,5,0,0,0,1,0,0,1
675,3,3,0,0,0,1,0,0,1
676,3,3,0,0,0,1,0,0,1
677,3,3,0,0,1,0,0,0,1
678,3,4,1,6,1,0,0,0,1
679,1,4,0,1,0,1,1,0,0
680,3,5,0,0,1,0,0,1,0
681,1,4,0,0,0,1,1,0,0
682,3,3,0,0,0,1,0,0,1
683,3,2,5,2,0,1,0,0,1
684,2,5,1,1,0,1,0,0,1
685,2,4,1,2,0,1,1,0,0
686,3,2,4,1,0,1,0,0,1
687,3,3,0,0,0,1,0,0,1
688,3,3,0,0,0,1,0,0,1
689,1,3,0,1,1,0,0,0,1
690,1,4,1,0,0,1,0,0,1
691,3,2,0,1,1,0,1,0,0
692,3,5,0,0,0,1,0,0,1
693,3,4,0,0,0,1,1,0,0
